,title,author,year,venue,abstract,container_type,gsrank,num_citations
0,Idsgan: Generative adversarial networks for attack generation against intrusion detection,"['Z Lin', 'Y Shi', 'Z Xue']",2018,arXiv preprint arXiv:1809.02077,"• We design IDSGAN, an improved framework of GAN against the intrusion detection  system, to generate adversarial malicious traffic examples to attack IDS. In the generation,  the modification to the original attack traffic will not invalidate its attack function.",Publication,1,106
1,Adversarial environment reinforcement learning algorithm for intrusion detection,"['G Caminero', 'M Lopez-Martin', 'B Carro']",2019,Computer Networks,"Intrusion detection is a crucial service in today's data networks, and the search for new fast and robust algorithms that are capable of detecting and classifying dangerous traffic is essential to deal with changing threats and increasing detection difficulty. In this work, we",Publication,2,55
2,Evasion techniques: Sneaking through your intrusion detection/prevention systems,"['TH Cheng', 'YD Lin', 'YC Lai']",2011,… Communications Surveys & …,Detecting attacks disguised by evasion techniques is a challenge for signature-based  Intrusion Detection Systems (IDSs) and Intrusion Prevention Systems (IPSs). This study  examines five common evasion techniques to determine their ability to evade recent systems,Publication,3,103
3,Defending network intrusion detection systems against adversarial evasion attacks,"['M Pawlicki', 'M Choraś', 'R Kozik']",2020,Future Generation Computer Systems,This paper evaluates the possibility of deteriorating the performance of a well-optimised  intrusion detection algorithm at test time by crafting adversarial attacks with the four of the recently  proposed methods and then offers a way to detect those attacks. The relevant background,Publication,4,32
4,Adversarial machine learning in network intrusion detection systems,"['E Alhajjar', 'P Maxwell', 'N Bastian']",2021,Expert Systems with Applications,"Adversarial examples are inputs to a machine learning system intentionally crafted by an attacker to fool the model into producing an incorrect output. These examples have achieved a great deal of success in several domains such as image recognition, speech recognition",Publication,5,10
5,Adversarial examples against the deep learning based network intrusion detection systems,"['K Yang', 'J Liu', 'C Zhang', 'Y Fang']",2018,MILCOM 2018-2018 IEEE …,"Deep learning begins to be widely applied in security applications, but the vulnerability of deep learning in front of adversarial examples raises people's concern. In this paper, we study the practicality of adversarial example in the domain of network intrusion detection",Publication,6,53
6,Analyzing adversarial attacks against deep learning for intrusion detection in IoT networks,"['O Ibitoye', 'O Shafiq', 'A Matrawy']",2019,2019 IEEE Global …,"Adversarial attacks have been widely studied in the field of computer vision but their impact on network security applications remains an area of open research. As IoT, 5G and AI continue to converge to realize the promise of the fourth industrial revolution (Industry 4.0)",Publication,7,61
7,Model evasion attack on intrusion detection systems using adversarial machine learning,"['MA Ayub', 'WA Johnson', 'DA Talbert']",2020,2020 54th Annual …,"Intrusion Detection Systems (IDS) have a long history as an effective network defensive mechanism. The systems alert defenders of suspicious and/or malicious behavior detected on the network. With technological advances in AI over the past decade, machine learning",Publication,8,11
8,Generative adversarial networks for launching and thwarting adversarial attacks on network intrusion detection systems,"['M Usama', 'M Asim', 'S Latif', 'J Qadir']",2019,2019 15th international …,"In this paper, we propose an adversarial ML attack using generative adversarial networks  (GANs) that can successfully evade an ML-based  , we discuss how an IDS can defend against  proposed adversarial ML attack by opting adversarial training using generative ML models.",Publication,9,42
9,Preparing network intrusion detection deep learning models with minimal data using adversarial domain adaptation,"['A Singla', 'E Bertino', 'D Verma']",2020,Proceedings of the 15th ACM Asia …,"Recent work has shown that deep learning (DL) techniques are highly effective for assisting network intrusion detection systems (NIDS) in identifying malicious attacks on networks. Training DL classification models, however, requires vast amounts of labeled data which is",Publication,10,13
10,Intrusion detection systems vulnerability on adversarial examples,"['A Warzyński', 'G Kołaczek']",2018,2018 Innovations in Intelligent …,We consider a possibility to take advantage of adversarial examples as a potential attack  vector on intrusion detection systems. Models are used by machine learning algorithms to  analyze network traffic are high dimensional even after applied reduction methods such as,Publication,11,25
11,An adversarial approach for explainable ai in intrusion detection systems,"['DL Marino', 'CS Wickramasinghe']",2018,IECON 2018-44th …,In this paper we present an approach to generate explanations for incorrect classifications  made by data-driven Intrusion Detection Systems (IDSs) An adversarial approach is used to  find the minimum modifications (of the input features) required to correctly classify a given set,Publication,12,47
12,Generative adversarial networks for distributed intrusion detection in the internet of things,"['A Ferdowsi', 'W Saad']",2019,2019 IEEE Global Communications …,"Moreover, we analytically show the superiority of the proposed distributed GAN-based IDS  in terms of accuracy and intrusion detection probability compared to a single standalone GAN  IDS. Simulation results show that, for a daily activity dataset [29], the proposed distributed",Publication,13,36
13,Enhancing network intrusion detection classifiers using supervised adversarial training,"['C Yin', 'Y Zhu', 'S Liu', 'J Fei', 'H Zhang']",2020,The Journal of Supercomputing,"The performance of classifiers has a direct impact on the effectiveness of intrusion detection system. Thus, most researchers aim to improve the detection performance of classifiers. However, classifiers can only get limited useful information from the limited number of",Publication,14,9
14,Generative adversarial attacks against intrusion detection systems using active learning,"['D Shu', 'NO Leslie', 'CA Kamhoua']",2020,… and Machine Learning,"Intrusion Detection Systems (IDS) are increasingly adopting machine learning (ML)-based approaches to detect threats in computer networks due to their ability to learn underlying threat patterns/features. However, ML-based models are susceptible to",Publication,15,9
15,Adversarial attacks against network intrusion detection in IoT systems,"['H Qiu', 'T Dong', 'T Zhang', 'J Lu']",2020,IEEE Internet of Things …,"Although a variety of methods have been designed to leverage DL models for security  protection, whether these systems are vulnerable to adversarial examples (AEs) is unknown. In  this article, we design a novel adversarial attack against DL-based network intrusion detection",Publication,16,19
