"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Defending Hardware-Based Malware Detectors Against Adversarial Attacks","A. P. Kuruvila; S. Kundu; K. Basu","Department of Electrical and Computer Engineering, University of Texas at Dallas, Richardson, TX, USA; Department of Electrical and Computer Engineering, University of Texas at Dallas, Richardson, TX, USA; Department of Electrical and Computer Engineering, University of Texas at Dallas, Richardson, TX, USA","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems","19 Aug 2021","2021","40","9","1727","1739","In the era of Internet of Things (IoT), Malware has been proliferating exponentially over the past decade. Traditional anti-virus software are ineffective against modern complex Malware. In order to address this challenge, researchers have proposed hardware-assisted Malware detection (HMD) using hardware performance counters (HPCs). The HPCs are used to train a set of machine learning (ML) classifiers, which in turn, are used to distinguish benign programs from Malware. Recently, adversarial attacks have been designed by introducing perturbations in the HPC traces using an adversarial sample predictor to misclassify a program for specific HPCs. These attacks are designed with the basic assumption that the attacker is aware of the HPCs being used to detect Malware. Since modern processors consist of hundreds of HPCs, restricting to only a few of them for Malware detection aids the attacker. In this article, we propose a moving target defense (MTD) for this adversarial attack by designing multiple ML classifiers trained on different sets of HPCs. The MTD randomly selects a classifier; thus, confusing the attacker about the HPCs or the number of classifiers applied. We have developed an analytical model which proves that the probability of an attacker to guess the perfect HPC-classifier combination for MTD is extremely low (in the range of $10^{-1864}$ for a system with 20 HPCs). Our experimental results prove that the proposed defense is able to improve the classification accuracy of HPC traces that have been modified through an adversarial sample generator by up to 31.5%, for a near perfect (99.4%) restoration of the original accuracy.","1937-4151","","10.1109/TCAD.2020.3026960","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9206535","Adversarial attacks;hardware performance counters (HPCs);machine learning (ML);Malware","Malware;Resists;Hardware;Program processors;Detectors;Generators","invasive software;learning (artificial intelligence);system monitoring","hardware performance counters;machine learning classifiers;adversarial attack;HPC traces;adversarial sample predictor;MTD;multiple ML classifiers;perfect HPC-classifier combination;adversarial sample generator;hardware-based malware detectors;anti-virus software;modern complex malware;hardware-assisted malware detection","","2","","41","IEEE","28 Sep 2020","","","IEEE","IEEE Journals"
"An RFML Ecosystem: Considerations for the Application of Deep Learning to Spectrum Situational Awareness","L. J. Wong; W. H. Clark; B. Flowers; R. M. Buehrer; W. C. Headley; A. J. Michaels","Bradley Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA, USA; Hume Center for National Security and Technology, Virginia Tech, Blacksburg, VA, USA; Department of Electrical and Computer Engineering, University of California at San Diego, San Diego, CA, USA; Bradley Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA, USA; Hume Center for National Security and Technology, Virginia Tech, Blacksburg, VA, USA; Bradley Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA, USA","IEEE Open Journal of the Communications Society","4 Oct 2021","2021","2","","2243","2264","While deep learning (DL) technologies are now pervasive in state-of-the-art Computer Vision (CV) and Natural Language Processing (NLP) applications, only in recent years have these technologies started to sufficiently mature in applications related to wireless communications, a field loosely termed Radio Frequency Machine Learning (RFML). In particular, recent research has shown DL to be an enabling technology for Cognitive Radio (CR) applications as well as a useful tool for supplementing expertly defined algorithms for spectrum awareness applications such as signal detection, estimation, and classification. A major driver for the usage of RFML is that little, to no, <italic>a priori</italic> knowledge of the intended spectral environment is required, given that there is an abundance of representative raw Radio Frequency (RF) data to facilitate training and evaluation. However, in addition to this fundamental need for sufficient data, there are other key considerations, such as trust, security, and hardware requirements, that must be taken into account before deploying RFML systems in real-world wireless communication applications that largely go unaddressed in the current literature. This paper examines the prior works related to these major research considerations, with focus on the dependencies between them and factors unique to the RFML space.","2644-125X","","10.1109/OJCOMS.2021.3112939","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9540909","Survey;deep learning;neural networks;radio frequency machine learning;spectrum awareness;dynamic spectrum access;cognitive radio;automatic modulation classification;specific emitter identification;signal detection","Maximum likelihood estimation;Radio frequency;Cognitive radio;Security;Wireless sensor networks;Routing;Modulation","cognitive radio;deep learning (artificial intelligence);radio spectrum management","RFML ecosystem;deep learning technologies;wireless communications;Radio Frequency Machine Learning;Cognitive Radio;spectrum awareness applications;intended spectral environment;representative raw Radio Frequency data;RFML systems;real-world wireless communication applications;research considerations;RFML space;spectrum situational awareness","","","","194","CCBY","20 Sep 2021","","","IEEE","IEEE Journals"
"Transfer-learning-based Network Traffic Automatic Generation Framework","Y. Li; T. Liu; D. Jiang; T. Meng","Zhejiang University,Department of Electrical Engineering,Hangzhou,China; Zhejiang University,Department of Electrical Engineering,Hangzhou,China; State Grid Jilin Company Changchun,Electric Power Research Institute,China; State Grid Jilin Company Changchun,Electric Power Research Institute,China","2021 6th International Conference on Intelligent Computing and Signal Processing (ICSP)","26 Apr 2021","2021","","","851","854","Nowadays, there is an increasing number of attacks against the network system. The intrusion detection system is a standard method to prevent attack. In essence intrusion detection is a classification problem to judge normal or abnormal behaviors according to network traffic characteristics, and deep learning has been applied to intrusion detection recently. However, due to the lack of training data in some systems such as industrial control systems and smart grid, the deep-learning algorithm cannot give full play to its advantages. To solve this problem, we propose a transfer-learning-based network flow generation framework for deep-learning-based intrusion detection, which uses invariant extraction and sequence to sequence generation, to extract the attack invariant of the existing attack data set and transfer the knowledge to the target network system. We use the open-source data set on real systems and carry out relevant experiments, proving that our method can generate effective anomaly traffic as well as improve the accuracy of intrusion detection.","","978-1-6654-0413-6","10.1109/ICSP51882.2021.9408767","State Grid Corporation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9408767","Network Network Automatic Generation;Network Intrusion detection;Transfer learning","Knowledge engineering;Intrusion detection;Training data;Signal processing algorithms;Telecommunication traffic;Signal processing;Smart grids","computer network security;deep learning (artificial intelligence);security of data;telecommunication traffic","training data;industrial control systems;transfer-learning-based network flow generation framework;deep-learning-based intrusion detection;sequence generation;attack data;target network system;effective anomaly traffic;transfer-learning-based network traffic automatic generation framework;intrusion detection system;classification problem;network traffic characteristics","","","","8","","26 Apr 2021","","","IEEE","IEEE Conferences"
"Worth the Wait? Time Window Feature Optimization for Attack Classification","C. Wilson; X. Mountrouidou; A. Little","The Citadel Charleston,Department of Cyber and Computer Sciences,SC,USA; College of Charleston,Department of Computer Science,Charleston, SC,USA; Michigan State University,Department of Computational Mathematics,Lansing, MI,USA","2019 IEEE International Conference on Big Data (Big Data)","24 Feb 2020","2019","","","3232","3241","Time as a variable for generating features has been widely overlooked in Intrusion Detection System (IDS) research. Computer and network attacks are time series, where time is an important factor that may affect feature generation, and as a result, classification. Nevertheless, there has been little exploration on how to calibrate time for IDSs and attack classification techniques. In this paper we explore time windows as a technique for generating more effective and descriptive features for attack classification. We suggest a framework for feature generation and selection that uses Recursive Feature Elimination (RFE) and time window exploration. Our initial results when applying this framework indicate that there is up to 47% improvement of F1 scores in attack classification when attack features are generated over a variety of time windows, compared to a single, global time window. We find that features calculated over longer lengths of time may be more useful for detecting attacks than over shorter lengths of time. Our methods seem to be most effective at detecting DDoS attacks, particularly those that occur over medium or long durations of time.","","978-1-7281-0858-2","10.1109/BigData47090.2019.9006304","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006304","Feature Selection;Attack Classification;Intrusion Detection","Feature extraction;Network security;Distributed denial-of-service attack;Time series analysis;Machine learning algorithms","computer network security;feature extraction;pattern classification;time series","time window Feature optimization;attack classification;feature generation;descriptive features;DDoS attacks;intrusion detection system;recursive feature elimination;RFE;time window exploration","","","","36","","24 Feb 2020","","","IEEE","IEEE Conferences"
"A Survey on Security and Privacy Issues of Bitcoin","M. Conti; E. Sandeep Kumar; C. Lal; S. Ruj","Department of Mathematics, University of Padua, Padua, Italy; Department of Telecommunication Engineering, Ramaiah Institute of Technology, Bengaluru, India; Department of Mathematics, University of Padua, Padua, Italy; Cryptology and Security Research Unit, Computer and Communication Sciences Division, Indian Statistical Institute, Kolkata, India","IEEE Communications Surveys & Tutorials","20 Nov 2018","2018","20","4","3416","3452","Bitcoin is a popular cryptocurrency that records all transactions in a distributed append-only public ledger called blockchain. The security of Bitcoin heavily relies on the incentive-compatible proof-of-work (PoW) based distributed consensus protocol, which is run by the network nodes called miners. In exchange for the incentive, the miners are expected to maintain the blockchain honestly. Since its launch in 2009, Bitcoin economy has grown at an enormous rate, and it is now worth about 150 billions of dollars. This exponential growth in the market value of bitcoins motivate adversaries to exploit weaknesses for profit, and researchers to discover new vulnerabilities in the system, propose countermeasures, and predict upcoming trends. In this paper, we present a systematic survey that covers the security and privacy aspects of Bitcoin. We start by giving an overview of the Bitcoin system and its major components along with their functionality and interactions within the system. We review the existing vulnerabilities in Bitcoin and its major underlying technologies such as blockchain and PoW-based consensus protocol. These vulnerabilities lead to the execution of various security threats to the standard functionality of Bitcoin. We then investigate the feasibility and robustness of the state-of-the-art security solutions. Additionally, we discuss the current anonymity considerations in Bitcoin and the privacy-related threats to Bitcoin users along with the analysis of the existing privacy-preserving solutions. Finally, we summarize the critical open challenges, and we suggest directions for future research towards provisioning stringent security and privacy solutions for Bitcoin.","1553-877X","","10.1109/COMST.2018.2842460","EU TagItSmart! Project(grant numbers:H2020-ICT30-2015-688061); EU-India REACH Project(grant numbers:ICI+/2014/342-896); TENACE PRIN Project through the Italian MIUR(grant numbers:20103P34XC); University of Padua through projects Tackling Mobile Malware with Innovative Machine Learning Techniques, Physical-Layer Security for Wireless Communication, and Content Centric Networking: Security and Privacy Issues; European Commission(grant numbers:PCIG11-GA-2012-321980); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8369416","Bitcoins;cryptocurrency;security threats;user privacy","Bitcoin;Privacy;Peer-to-peer computing;Protocols","data privacy;electronic money;protocols","Bitcoin economy;privacy aspects;Bitcoin system;Bitcoin users;stringent security;privacy solutions;cryptocurrency;distributed append-only public ledger;blockchain;distributed consensus protocol;PoW-based consensus protocol;miner network nodes;security aspects;privacy-related threats;privacy-preserving solutions","","137","","189","IEEE","31 May 2018","","","IEEE","IEEE Journals"
"CANNON: Reliable and Stealthy Remote Shutdown Attacks via Unaltered Automotive Microcontrollers","S. Kulandaivel; S. Jain; J. Guajardo; V. Sekar","Carnegie Mellon University; Robert Bosch LLC,Research and Technology Center,USA; Robert Bosch LLC,Research and Technology Center,USA; Carnegie Mellon University","2021 IEEE Symposium on Security and Privacy (SP)","26 Aug 2021","2021","","","195","210","Electronic Control Units (ECUs) in modern vehicles have recently been targets for shutdown attacks, which can disable safety-critical vehicle functions and be used as means to launch more dangerous attacks. Existing attacks operate either by physical manipulation of the bus signals or message injection. However, we argue that these cannot simultaneously be remote, stealthy, and reliable. For instance, message injection is detected by modern Intrusion Detection System (IDS) proposals and requires strict synchronization that cannot be realized remotely. In this work, we introduce a new class of attacks that leverage the peripheral clock gating feature in modern automotive microcontroller units (MCUs). By using this capability, a remote adversary with purely software control can reliably ""freeze"" the output of a compromised ECU to insert arbitrary bits at any time instance. Utilizing on this insight, we develop the CANnon attack for remote shutdown. Since the CANnon attack produces error patterns indistinguishable from natural errors and does not require message insertion, detecting it with current techniques is difficult. We demonstrate this attack on two automotive MCUs used in modern passenger vehicle ECUs. We discuss potential mitigation strategies and countermeasures for such attacks.","2375-1207","978-1-7281-8934-5","10.1109/SP40001.2021.00122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9519391","Automotive security;CAN bus attack;Fault attacks;Glitching attacks","Privacy;Microcontrollers;Intrusion detection;Software;Software reliability;Synchronization;Security","automotive electronics;microcontrollers;security of data","stealthy remote shutdown attacks;unaltered automotive microcontrollers;electronic control units;safety-critical vehicle functions;message injection;peripheral clock gating feature;modern automotive microcontroller units;remote adversary;software control;CANnonattack;message insertion;automotive MCUs;modern passenger vehicle ECUs;modern intrusion detection system proposals","","","","52","","26 Aug 2021","","","IEEE","IEEE Conferences"
"Sliding Window Optimized Information Entropy Analysis Method for Intrusion Detection on In-Vehicle Networks","W. Wu; Y. Huang; R. Kurachi; G. Zeng; G. Xie; R. Li; K. Li","College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; Graduate School of Informatics, Nagoya University, Nagoya, Japan; Graduate School of Informatics, Nagoya University, Nagoya, Japan; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China","IEEE Access","4 Sep 2018","2018","6","","45233","45245","With the considerable growth of cybersecurity risks in modern automobiles, cybersecurity issues in the in-vehicle network environment have attracted significant attention from security researchers in recent years. Enhancing the cybersecurity ability of in-vehicle networks while considering the computing resource and cost constraints become an urgent issue. To address this problem, a novel information entropy-based method is proposed in this paper, which uses a fixed number of messages as sliding windows. By improving the sliding window strategy and optimizing the decision conditions, the detection accuracy is increased and the false positive rate is reduced. Experimental results demonstrate that the proposed method can provide real-time response to attacks with a considerably improved detection precision for intrusion detection in the in-vehicle network environment.","2169-3536","","10.1109/ACCESS.2018.2865169","Natural Science Foundation of Hunan Province(grant numbers:2018JJ3076); CCF-Venustech Open Research Fund(grant numbers:CCF-VenustechRP2017012); Zhejiang University(grant numbers:ICT1800399); National Natural Science Foundation of China(grant numbers:61702172,61672217,61502162); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8434302","Controller area network (CAN);cybersecurity;information entropy;in-vehicle network;intrusion detection system (IDS)","Intrusion detection;Information entropy;Encryption;Automobiles;Authentication;Protocols","entropy;security of data","novel information entropy-based method;sliding window strategy;detection accuracy;intrusion detection;in-vehicle network environment;window optimized information entropy analysis method;in-vehicle networks;cybersecurity risks;modern automobiles;cybersecurity issues;security researchers;cybersecurity ability;computing resource;cost constraints","","24","","29","OAPA","13 Aug 2018","","","IEEE","IEEE Journals"
"Anatomy of Threats to the Internet of Things","I. Makhdoom; M. Abolhasan; J. Lipman; R. P. Liu; W. Ni","Faculty of Engineering and IT, University of Technology Sydney, Sydney, NSW, Australia; Faculty of Engineering and IT, University of Technology Sydney, Sydney, NSW, Australia; Faculty of Engineering and IT, University of Technology Sydney, Sydney, NSW, Australia; Faculty of Engineering and IT, University of Technology Sydney, Sydney, NSW, Australia; Data61, CSIRO, Marsfield, NSW, Australia","IEEE Communications Surveys & Tutorials","31 May 2019","2019","21","2","1636","1675","The world is resorting to the Internet of Things (IoT) for ease of control and monitoring of smart devices. The ubiquitous use of IoT ranges from industrial control systems (ICS) to e-Health, e-Commerce, smart cities, supply chain management, smart cars, cyber physical systems (CPS), and a lot more. Such reliance on IoT is resulting in a significant amount of data to be generated, collected, processed, and analyzed. The big data analytics is no doubt beneficial for business development. However, at the same time, numerous threats to the availability and privacy of the user data, message, and device integrity, the vulnerability of IoT devices to malware attacks and the risk of physical compromise of devices pose a significant danger to the sustenance of IoT. This paper thus endeavors to highlight most of the known threats at various layers of the IoT architecture with a focus on the anatomy of malware attacks. We present a detailed attack methodology adopted by some of the most successful malware attacks on IoT, including ICS and CPS. We also deduce an attack strategy of a distributed denial of service attack through IoT botnet followed by requisite security measures. In the end, we propose a composite guideline for the development of an IoT security framework based on industry best practices and also highlight lessons learned, pitfalls and some open research challenges.","1553-877X","","10.1109/COMST.2018.2874978","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489954","Threats to the IoT;Internet of Things;malware attacks on the Internet of Things;attack methodology;security and privacy;IoT security framework;security guidelines","Protocols;Internet of Things;Privacy;Malware;Tutorials;Computer crime","Big Data;computer network security;data analysis;data privacy;electronic commerce;industrial control;Internet of Things;invasive software;telecommunication security","smart devices;industrial control systems to e-Health;smart cities;supply chain management;smart cars;cyber physical systems;big data analytics;user data;device integrity;IoT devices;IoT architecture;detailed attack methodology;successful malware attacks;IoT botnet;IoT security framework;CPS;ICS","","96","","215","IEEE","11 Oct 2018","","","IEEE","IEEE Journals"
"A Receding-Horizon MDP Approach for Performance Evaluation of Moving Target Defense in Networks","Z. Qian; J. Fu; Q. Zhu","Robotics Engineering Program, Worcester Polytechnic Institute,Dept. of Electrical and Computer Engineering,Worcester,MA,USA,01609; Robotics Engineering Program, Worcester Polytechnic Institute,Dept. of Electrical and Computer Engineering,Worcester,MA,USA,01609; New York University,Dept. of Electrical and Computer Engineering,USA","2020 IEEE Conference on Control Technology and Applications (CCTA)","28 Sep 2020","2020","","","1","7","In this paper we study the problem of assessing the effectiveness of a proactive defense-by-detection policy with a network-based moving target defense. We model the network system using a probabilistic attack graph-a graphical security model. Given a network system with a proactive defense strategy an intelligent attacker needs to perform reconnaissance repeatedly to learn about the locations of intrusion detection systems and re- plan optimally to reach the target while avoiding detection. To compute the attacker's strategy for security evaluation we develop a receding-horizon planning algorithm using a risk-sensitive Markov decision process with a time-varying reward function. Finally we implement both defense and attack strategies in a synthetic network and analyze how the frequency of network randomization and the number of detection systems can influence the success rate of the attacker. This study provides insights for designing proactive defense strategies against online and multi-stage attacks by a resourceful attacker.","","978-1-7281-7140-1","10.1109/CCTA41146.2020.9206360","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9206360","","Security;Probabilistic logic;Planning;Performance evaluation;Computational modeling;Uncertainty;Games","computer network security;dynamic programming;Markov processes;probability","performance evaluation;target defense;defense-by-detection policy;network-based;network system;probabilistic attack graph-a;proactive defense strategy;intelligent attacker;intrusion detection systems;security evaluation;receding-horizon planning algorithm;risk-sensitive Markov decision process;attack strategies;synthetic network;network randomization;multistage attacks;resourceful attacker;receding-horizon MDP approach","","","","35","","28 Sep 2020","","","IEEE","IEEE Conferences"
"Towards Adversarial Resilience in Proactive Detection of Botnet Domain Names by using MTD","C. Dietz; G. Dreo; A. Sperotto; A. Pras","Bundeswehr University Munich,Research Institute CODE,Neubiberg,Germany; Bundeswehr University Munich,Research Institute CODE,Neubiberg,Germany; University of Twente,Design and Analysis of Communication Systems,Enschede,The Netherlands; University of Twente,Design and Analysis of Communication Systems,Enschede,The Netherlands","NOMS 2020 - 2020 IEEE/IFIP Network Operations and Management Symposium","8 Jun 2020","2020","","","1","5","Artificial Intelligence is often part of state-of-the-art Intrusion Detection Systems. However, attackers use Artificial Intelligence to improve their attacks and circumvent IDS systems. Botnets use artificial intelligence to improve their Domain Name Generation Algorithms. Botnets pose a serious threat to networks that are connected to the Internet and are an enabler for many cyber-criminal activities (e.g., DDoS attacks, banking fraud and cyber-espionage) and cause substantial economic damage. To circumvent detection and prevent takedown actions, bot-masters use DGAs to create, maintain and hide C&C infrastructures. Furthermore, botmasters often release its source code to prevent detection, leading to numerous similar botnets that are created and maintained by different botmasters. As these botnets are based on nearly the same source code basis, they often share similar observable behavior. Current work on detection of DGAs is often based on applying machine learning techniques, as they are capable to generalize and to also detect yet unknown derivatives of a known botnets. However, these machine learning based classifiers can be circumvented by applying adversarial learning techniques. As a consequence, there is a need for resilience against adversarial learning in current Intrusion Detection Systems. In our work, we focus on adversarial learning in DNS based IDSs from the perspective of a network operator. Further, we present our concept to make existing and future machine learning based IDSs more resilient against adversarial learning attacks by applying multi-level Moving Target Defense strategies.","2374-9709","978-1-7281-4973-8","10.1109/NOMS47738.2020.9110332","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9110332","Adversarial Learning;Resilience;DGA;Botnet;Proactive Detection","","computer crime;Internet;invasive software;learning (artificial intelligence);pattern classification","DGAs;source code;adversarial learning techniques;intrusion detection systems;adversarial learning attacks;adversarial resilience;proactive detection;artificial intelligence;domain name generation algorithms;cyber-criminal activities;botnet domain names;MTD","","","","25","","8 Jun 2020","","","IEEE","IEEE Conferences"
